"count_all","sample"
999999.989005071,"VSM21-SV7-1_A"
1000000.00095559,"VSM21-BL1-2_A"
1000000.01583327,"VSM21-TA7-2_A"
1000000.01092965,"VSM21-SV1-1_A "
999999.963862751,"VSM21-BL9-1"
1000000.0051865,"VSM21-TA7-3_A "
1000000.01112031,"VSM21-BL1-1"
999999.998917749,"VSM21-SV7-2"
999999.998917749,"VIO-30-8-RNA-2"
1000000.03851197,"VSM21-BL9-2"
1000000.00369913,"VIO-44-5-RNA-2"
1000000.01078885,"VIO-12-4-RNA"
999999.936553828,"SSW"
1000000.06090967,"VIO-6-5-RNA-1"
1000000.04192618,"VIO-30-2-RNA-2"
1000000.02548596,"SSW_B"
1000000.01724759,"VIO-32-6-RNA2 "
1000000.01473766,"VSM21-SV1-2_A"
