"sample","dab_name","count_dab","sample_group","count_pn","dab_to_pn_ratio","Loocation","Depth","Latitude","Longitude","SiO4","PO4","NO2","NO3","NH3","Temperature","Salinity","Dissolved.O2","Turbidity","Chlorophyl.a","year","Mn55.MR.","Fe56.MR.","Cd111.LR."
"VIO_12_4_RNA","DabA",0.031564,"2019",929.321570999996,3.39645618749983e-05,"BELCHER",20,"75.676238",-81.14373,4.01,0.47,0.01,1.52,1.2,-0.27477,31.804,351.37,0.78139,2.4439,2019,9.8,1007.3,0.583959535
"VIO_12_4_RNA","DabB",0.034056,"2019",929.321570999996,3.66460879234236e-05,"BELCHER",20,"75.676238",-81.14373,4.01,0.47,0.01,1.52,1.2,-0.27477,31.804,351.37,0.78139,2.4439,2019,9.8,1007.3,0.583959535
"VIO_12_4_RNA","DabC",0.056373,"2019",929.321570999996,6.06603803883944e-05,"BELCHER",20,"75.676238",-81.14373,4.01,0.47,0.01,1.52,1.2,-0.27477,31.804,351.37,0.78139,2.4439,2019,9.8,1007.3,0.583959535
"VIO_12_4_RNA","DabD",0.019745,"2019",929.321570999996,2.12466821132252e-05,"BELCHER",20,"75.676238",-81.14373,4.01,0.47,0.01,1.52,1.2,-0.27477,31.804,351.37,0.78139,2.4439,2019,9.8,1007.3,0.583959535
"VIO_30_2_RNA_2","DabA",0.242474,"2019",2478.23147799999,9.78415463416208e-05,"SVERDRUP",10,"75.759945",-83.234649,2.5,0.38,0,0.22,2.85,-0.097416,31.944,390.95,3.1901,29.526,2019,42.2,2999.8,0.308428054
"VIO_30_2_RNA_2","DabB",0.087998,"2019",2478.23147799999,3.55083860330178e-05,"SVERDRUP",10,"75.759945",-83.234649,2.5,0.38,0,0.22,2.85,-0.097416,31.944,390.95,3.1901,29.526,2019,42.2,2999.8,0.308428054
"VIO_30_2_RNA_2","DabC",0.194936,"2019",2478.23147799999,7.86593188451141e-05,"SVERDRUP",10,"75.759945",-83.234649,2.5,0.38,0,0.22,2.85,-0.097416,31.944,390.95,3.1901,29.526,2019,42.2,2999.8,0.308428054
"VIO_30_2_RNA_2","DabD",0.033412,"2019",2478.23147799999,1.34821949832404e-05,"SVERDRUP",10,"75.759945",-83.234649,2.5,0.38,0,0.22,2.85,-0.097416,31.944,390.95,3.1901,29.526,2019,42.2,2999.8,0.308428054
"VIO_32_6_RNA2","DabA",0.05275,"2019",1186.865402,4.44448038599074e-05,"SVERDRUP",20,"75.891282",-82.923124,3.31,0.55,0.01,1.12,0.65,-0.31908,31.97,355.06,0.59235,0.98446,2019,NA,NA,NA
"VIO_32_6_RNA2","DabB",0,"2019",1186.865402,0,"SVERDRUP",20,"75.891282",-82.923124,3.31,0.55,0.01,1.12,0.65,-0.31908,31.97,355.06,0.59235,0.98446,2019,NA,NA,NA
"VIO_32_6_RNA2","DabC",0.134514,"2019",1186.865402,0.000113335513676049,"SVERDRUP",20,"75.891282",-82.923124,3.31,0.55,0.01,1.12,0.65,-0.31908,31.97,355.06,0.59235,0.98446,2019,NA,NA,NA
"VIO_32_6_RNA2","DabD",0.011355,"2019",1186.865402,9.56721796832699e-06,"SVERDRUP",20,"75.891282",-82.923124,3.31,0.55,0.01,1.12,0.65,-0.31908,31.97,355.06,0.59235,0.98446,2019,NA,NA,NA
"VIO_44_5_RNA_2","DabA",0,"2019",79.6846230000001,0,"GRISE_FIORD",31,"76.57018",-83.18361,3.65,0.49,0.01,0.18,2.01,-0.31053,31.229,425.99,0.65782,15.443,2019,9,653.3,0.11704353
"VIO_44_5_RNA_2","DabB",0,"2019",79.6846230000001,0,"GRISE_FIORD",31,"76.57018",-83.18361,3.65,0.49,0.01,0.18,2.01,-0.31053,31.229,425.99,0.65782,15.443,2019,9,653.3,0.11704353
"VIO_44_5_RNA_2","DabC",0,"2019",79.6846230000001,0,"GRISE_FIORD",31,"76.57018",-83.18361,3.65,0.49,0.01,0.18,2.01,-0.31053,31.229,425.99,0.65782,15.443,2019,9,653.3,0.11704353
"VIO_44_5_RNA_2","DabD",0,"2019",79.6846230000001,0,"GRISE_FIORD",31,"76.57018",-83.18361,3.65,0.49,0.01,0.18,2.01,-0.31053,31.229,425.99,0.65782,15.443,2019,9,653.3,0.11704353
"VIO_6_5_RNA_1","DabA",0.027739,"2019",514.507781999996,5.39136646139207e-05,"JAKEMAN",40,"76.408569",-81.148126,2.26,0.44,0,0.01,0.23,-0.13759,31.144,372.69,0.85355,3.7184,2019,NA,NA,NA
"VIO_6_5_RNA_1","DabB",0,"2019",514.507781999996,0,"JAKEMAN",40,"76.408569",-81.148126,2.26,0.44,0,0.01,0.23,-0.13759,31.144,372.69,0.85355,3.7184,2019,NA,NA,NA
"VIO_6_5_RNA_1","DabC",0.033861,"2019",514.507781999996,6.5812415641947e-05,"JAKEMAN",40,"76.408569",-81.148126,2.26,0.44,0,0.01,0.23,-0.13759,31.144,372.69,0.85355,3.7184,2019,NA,NA,NA
