"sample","pn_proportion","pn_counts","non_pn_counts","total_counts"
"SSW",0.000577486705209912,70.7146425000001,122433.259356499,122503.973998999
"VIO-12-4-RNA",0.010663632148161,929.321570999996,86219.368302015,87148.689873015
"VIO-30-2-RNA-2",0.0280929455668531,2478.23147799999,85737.2058139892,88215.4372919892
"VIO-30-8-RNA-2",0.0547298878795619,3882.59894599989,67058.510133995,70941.1090799949
"VIO-32-6-RNA2",0.0116387887542566,1186.865402,100788.127620012,101974.993022012
"VIO-44-5-RNA-2",0.00065612110989853,79.6846230000001,121368.355682125,121448.040305125
"VIO-6-5-RNA-1",0.00511323358735482,514.507781999996,100108.272932026,100622.780714026
"VSM21-BL1-1",0.00805735873859338,783.517998000003,96459.018100968,97242.536098968
"VSM21-BL1-2_A",0.0140486883450052,1054.775681,74025.2357120215,75080.0113930215
"VSM21-BL9-1",0.00458068464816065,457.908258,99507.1173160418,99965.0255740417
"VSM21-BL9-2",0.00891275997931099,1002.583149,111485.933463955,112488.516612955
"VSM21-SV1-1_A",0.0256986837866061,2430.89376000001,92161.2565689976,94592.1503289977
"VSM21-SV1-2_A",0.0125096495608109,1169.86706599999,92347.306241943,93517.173307943
"VSM21-SV7-1_A",0.0361106371434054,2081.01576499998,55547.869505999,57628.885270999
"VSM21-SV7-2",0.0547298878795619,3882.59894599989,67058.510133995,70941.1090799949
"VSM21-TA7-2_A",0.000828945634417988,102.690258,123777.88011511,123880.57037311
"VSM21-TA7-3_A",0.000412834331295962,58.001214,140437.131101967,140495.132315967
