Merge_Parameter_1,Latitude,Longitude,Distance,Depth_m,Bottom_Depth,Cast_Depth_m,Season,Water,Season_Water,Glacier_Name,Environ,Full_Sample_Environ,Specific_Environ,Glacial_Environ,Plume,Station_Name,Station_Number,CTD_ID,Cast_Number,ID,Trace_Metal_ID,sampname,Core_Bag,Chla_ug_L,Delta_DI13C,DIC_Conc_ppm_13C,DIC_Conc_uM,DOC_Conc_uM,TN_Conc_uM,Delta_DO13C,H1,P3,P2,H2,P1,Fmax_Sum,H1_Norm,PD_Norm,P2_Norm,HD_Norm,P1_Norm,Humic,Spring_Protein,Summer_Protein,Protein,Abs_255,SiO4_uM,PO4_uM,NO2_uM,NO3_uM,NH3_uM,Del_H,Del_O,Fraction,Ca_Ion,Mg_Ion,K_Ion,Na_Ion,MSA_Ion,Cl_Ion,Br_Ion,NO3_Ion,SO4_Ion,Notes,File_Name,Depth_m_Rounded,Temp_C,Salinity_PSU,Dis_O2_Conc,Dis_O2_Sat,Chl_A_ug_L,PAR,Turbidity_NTU,Density_R,Density,Station_ID,Day,GPS_Points,Cast_Type,Transect,Glacier,Transect_Point,CTD_Index,Date,Time_Local,Li_ppb_Dissolved,B_ppb_Dissolved,Na_ppb_Dissolved,Mg_ppb_Dissolved,Al_ppb_Dissolved,K_ppb_Dissolved,Ca_ppb_Dissolved,Ti_ppb_Dissolved,V_ppb_Dissolved,Cr_ppb_Dissolved,Fe_ppb_Dissolved,Mn_ppb_Dissolved,Ni_ppb_Dissolved,Cu_ppb_Dissolved,Zn_ppb_Dissolved,As_ppb_Dissolved,Se_ppb_Dissolved,Rb_ppb_Dissolved,Sr_ppb_Dissolved,Y_ppb_Dissolved,Zr_ppb_Dissolved,Mo_ppb_Dissolved,Sb_ppb_Dissolved,Ba_ppb_Dissolved,La_ppb_Dissolved,Ce_ppb_Dissolved,Nd_ppb_Dissolved,Pb_ppb_Dissolved,Th_ppb_Dissolved,U_ppb_Dissolved,Li_ppb_Colloidal,B_ppb_Colloidal,Na_ppb_Colloidal,Mg_ppb_Colloidal,Al_ppb_Colloidal,K_ppb_Colloidal,Ca_ppb_Colloidal,Ti_ppb_Colloidal,V_ppb_Colloidal,Cr_ppb_Colloidal,Fe_ppb_Colloidal,Mn_ppb_Colloidal,Ni_ppb_Colloidal,Cu_ppb_Colloidal,Zn_ppb_Colloidal,As_ppb_Colloidal,Se_ppb_Colloidal,Rb_ppb_Colloidal,Sr_ppb_Colloidal,Y_ppb_Colloidal,Zr_ppb_Colloidal,Mo_ppb_Colloidal,Sb_ppb_Colloidal,Ba_ppb_Colloidal,La_ppb_Colloidal,Ce_ppb_Colloidal,Nd_ppb_Colloidal,Pb_ppb_Colloidal,Th_ppb_Colloidal,U_ppb_Colloidal
VIO_10,75.66192,-81.297643,1,5,250,240,Summer,Marine,Summer_Marine,Belcher,Glaciated,Surface,Surface,Marine,Clear,VIO,10,VIO_10_5,2,VIO_10_2,,O2I_SW_001_Sample0004,70,0.0704,6.06,8,1777.540154,74.26314365,5.473952486,-23.6,0.309407398,0.105283497,0.239001948,0.070672417,0.063601495,0.787966754,0.392665548,0.133614135,0.303314761,0.089689593,0.080715962,0.482355141,0.214330097,0.303314761,,0.009517391,3.08,0.39,0,1.03,0,-16.8,-2.18,0.062606911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1025.546121,25.471,NA,NA,NA,NA,NA,NA,NA,VIO10-1.csv.6,2008-02-19,7:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIO_10,75.662173,-81.298355,1,35,250,240,Summer,Marine,Summer_Marine,Belcher,Glaciated,10-100m,10-100m,Marine,Clear,VIO,10,VIO_10_35,3,VIO_10_3,,O2I_SW2_001_Sample0005,76,0.1109,7.13,7.88,1827.539732,61.53706548,13.28355445,-24.4,0.243666763,0.01964892,0.223824501,0.062349746,0.04643538,0.595925309,0.408888093,0.032972119,0.375591534,0.104626779,0.077921476,0.513514872,0.110893595,0.375591534,,0.009865001,12.08,0.87,0.03,7.44,0.59,-12.6,-1.67,0.045159083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIO10-1.csv,36,-0.8679,32.446,279.62,75.085,1.0533,-0.22394,45.976,1026.304487,26.084,VIO10,Day 6,30,downcast,Belcher_a,Belcher,1,VIO10-1.csv.36,2008-02-19,7:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIO_10,75.662826,-81.298725,1,95,250,240,Summer,Marine,Summer_Marine,Belcher,Glaciated,10-100m,10-100m,Marine,Clear,VIO,10,VIO_10_95,4,VIO_10_4,,O2I_SW_002_Sample0026,83,0.1528,6.33,8.1,1866.046314,65.89357804,13.29588215,-24,0.315189518,0.573616528,0.289932751,0.069032594,0.060881296,1.308652688,0.240850396,0.438326023,0.221550572,0.05275089,0.046522119,0.293601286,0.484848142,0.221550572,,0.009716134,16.33,1.08,0.05,9.27,0.37,-11.3,-1.47,0.038316798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIO10-1.csv,96,-1.1307,32.88,278.49,74.475,0.36863,-0.21759,4.8336,1026.955688,26.445,VIO10,Day 6,30,downcast,Belcher_a,Belcher,1,VIO10-1.csv.96,2008-02-19,7:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIO_10,75.663071,-81.299516,1,195,250,240,Summer,Marine,Summer_Marine,Belcher,Glaciated,>100m,>100m,Marine,Clear,VIO,10,VIO_10_195,5,VIO_10_5,,O2I_SW2_001_Sample0018,84,0.0511,5.29,9.16,2044.381231,101.8845179,14.48002683,-23.7,0.292643239,0.233255293,0.206369525,0.072399125,0.092914309,0.897581492,0.326035287,0.259870881,0.229917313,0.080660225,0.103516294,0.406695512,0.363387175,0.229917313,,0.008183089,12.11,0.84,0.01,7.5,0.43,-6.1,-0.79,0.015053028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIO10-1.csv,196,-0.33422,33.871,239.8,65.923,0.24743,-0.20445,2.9986,1028.201479,27.214,VIO10,Day 6,30,downcast,Belcher_a,Belcher,1,VIO10-1.csv.196,2008-02-19,7:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIO_11,75.668024,-81.218666,3.1,5,257,240,Summer,Marine,Summer_Marine,Belcher,Glaciated,Surface,Surface,Marine,Clear,VIO,11,VIO_11_5,2,VIO_11_2,,O2I_SW2_001_Sample0020,61,0.2546,6.86,7.85,1829.226184,65.36935039,6.124581431,-23.9,0.323809481,0.112896166,0.174850191,0.075149507,0.078407089,0.765112434,0.423218166,0.147555001,0.228528753,0.098220214,0.102477865,0.52143838,0.250032866,0.228528753,,0.010311807,4.9,0.51,0.01,1.75,0.58,-17,-2.21,0.063633254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIO11-1.csv,6,0.17403,31.371,342.35,94.893,1.0765,160.25,1.4173,1025.249339,25.175,VIO11,Day 6,36,downcast,Belcher_a,Belcher,2,VIO11-1.csv.6,2008-02-19,10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIO_11,75.667913,-81.217583,3.1,35,257,240,Summer,Marine,Summer_Marine,Belcher,Glaciated,10-100m,10-100m,Marine,Clear,VIO,11,VIO_11_35,3,VIO_11_3,,O2I_SW2_003_Sample0027,71,0.1853,5.32,8.58,1843.833823,63.56166883,12.15625419,-24.3,0.246229282,0.106549636,0.273441909,0.06244352,0.070957507,0.759621853,0.32414718,0.140266681,0.359971093,0.082203427,0.093411618,0.406350607,0.233678299,0.359971093,,0.008840627,9.26,0.76,0.02,5.2,0.06,-13.2,-1.74,0.047553883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIO11-1.csv,36,-0.87113,32.299,294.47,79.035,1.234,0.02207,3.5309,1026.185887,25.965,VIO11,Day 6,36,downcast,Belcher_a,Belcher,2,VIO11-1.csv.36,2008-02-19,10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIO_11,75.66722,-81.210545,3.1,95,257,240,Summer,Marine,Summer_Marine,Belcher,Glaciated,10-100m,10-100m,Marine,Clear,VIO,11,VIO_11_95,4,VIO_11_4,,O2I_SW2_001_Sample0004,74,0.1065,5.26,8.96,2053.416298,68.15317999,12.28158587,-22.1,0.214017785,0.300636843,0.201694574,0.065563393,0.115956296,0.897868891,0.238361956,0.334833789,0.224637,0.073021121,0.129146134,0.311383077,0.463979923,0.224637,,0.010403886,11.52,0.9,0.04,6.51,0.09,-11.1,-1.46,0.037974684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIO11-1.csv,96,-1.1756,32.774,282.48,75.406,0.28309,-0.27705,1.3854,1026.870753,26.359,VIO11,Day 6,36,downcast,Belcher_a,Belcher,2,VIO11-1.csv.96,2008-02-19,10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIO_11,75.666908,-81.206257,3.1,195,257,240,Summer,Marine,Summer_Marine,Belcher,Glaciated,>100m,>100m,Marine,Clear,VIO,11,VIO_11_195,5,VIO_11_5,,O2I_SW2_001_Sample0019,80,0.09121,6.11,8.28,1923.354074,103.6741226,13.73625522,-23.5,0.241497854,0.439109003,0.262938603,0.069548814,0.13351149,1.146605763,0.21061978,0.382964238,0.229319101,0.060656257,0.116440624,0.271276037,0.499404862,0.229319101,,0.009225344,10.08,0.82,0,6.13,0.19,-8.8,-1.11,0.026000684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIO11-1.csv,196,-0.84215,33.328,260.51,70.422,0.24761,-0.32525,2.2955,1027.788592,26.797,VIO11,Day 6,36,downcast,Belcher_a,Belcher,2,VIO11-1.csv.196,2008-02-19,10:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIO_12,75.676032,-81.144206,4.63,5,206,180,Summer,Marine,Summer_Marine,Belcher,Glaciated,Surface,Surface,Marine,Clear,VIO,12,VIO_12_5,2,VIO_12_2,,O2I_SW_001_Sample0011,77,0.5143,6.8,7.69,1712.039261,71.85892718,4.849348698,-23.1,0.187075737,0.268854262,0.246445121,0.059149011,0.09622926,0.857753391,0.218099677,0.313440046,0.287314656,0.068958062,0.112187559,0.287057739,0.425627605,0.287314656,,0.009593691,2.47,0.32,0.01,0.38,0.45,-16.2,-2.13,0.060896339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIO12-1.csv,6,0.98597,30.821,355.81,99.66,0.50613,313.19,1.3047,1024.76521,24.691,VIO12,Day 6,41,downcast,Belcher_a,Belcher,3,VIO12-1.csv.6,2008-02-19,14:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIO_12,75.676238,-81.14373,4.63,20,206,180,Summer,Marine,Summer_Marine,Belcher,Glaciated,10-100m,10-100m,Marine,Clear,VIO,12,VIO_12_20,3,VIO_12_3,,O2I_SW_001_Sample0006,79,0.5512,5.67,8.88,1922.613295,70.77431825,7.355982319,-23.7,0.267285376,0.08632112,0.155922607,0.064925292,0.067081122,0.641535516,0.416633794,0.134553922,0.243045947,0.101202958,0.10456338,0.517836752,0.239117302,0.243045947,,0.010627947,4.01,0.47,0.01,1.52,1.2,-14.6,-1.92,0.05371194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIO12-1.csv,21,-0.27477,31.804,351.37,95.496,2.4439,17.029,0.78139,1025.69055,25.543,VIO12,Day 6,41,downcast,Belcher_a,Belcher,3,VIO12-1.csv.21,2008-02-19,14:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
