SAMPLE_ID,Sample_Name_Final,cruise,Depth,Glacier_Name,Distance_from_glacier,Date,Year,Latitude,Longitude,station,SiO4,PO4,NO2,NO3,NH3,SURF_SCM,landtype,Temperature,Salinity,Dissolved O2,Turbidity,Chlorophyl a,N2,N2raw,site
BL1_2,Belcher.1_30,V2108,30,Belcher,3.41,August,2021,75.656,-81.16348333,BL1,0.95,0.4,0,0,0.02,SCM,strongTWG,0.963980472,31.80448603,382.7517175,0.880158395,2.598078179,0.000410305,0.000381143,Strongly Tidewater-Glacier-Influenced
BL1_1,Belcher.1_5,V2108,5,Belcher,3.41,August,2021,75.656,-81.16348333,BL1,0.79,0.4,0.01,0.09,0,Surface,strongTWG,1.67604851,31.2474477,382.9705175,0.958994085,0.37694723,0.000182263,0.000174789,Strongly Tidewater-Glacier-Influenced
BL11_2,Belcher.11_30,V2108,30,Belcher,10,August,2021,75.66461667,-81.08926667,BL11,1.48,0.47,0,0.46,0.19,SCM,strongTWG,1.238886972,31.71394446,376.7966396,0.598373875,2.527075866,0.00014913,0.000139285,Strongly Tidewater-Glacier-Influenced
BL11_3,Belcher.11_5,V2108,5,Belcher,10,August,2021,75.66461667,-81.08926667,BL11,0.57,0.41,0,0.06,0,Surface,strongTWG,1.133510763,31.18050132,381.4129525,0.682943633,0.866065285,0.000397384,0.000341301,Strongly Tidewater-Glacier-Influenced
BL13_2,Belcher.13_35,V2108,35,Belcher,11.8,August,2021,75.67461667,-81.02991667,BL13,1.82,0.51,0.01,0.68,0.14,SCM,strongTWG,1.42080796,31.52480294,379.4075594,0.540062089,2.125993417,0.000286671,0.000261317,Strongly Tidewater-Glacier-Influenced
BL13_3,Belcher.13_5,V2108,5,Belcher,11.8,August,2021,75.67461667,-81.02991667,BL13,1.39,0.41,0,0.29,0.07,Surface,strongTWG,2.060753978,31.14401656,368.2681332,0.27277758,0.385233029,0.000176555,0.000166927,Strongly Tidewater-Glacier-Influenced
BL14_2,Belcher.14_30,V2108,30,Belcher,13.59,August,2021,75.68463333,-80.13856667,BL14,NA,0.48,0.03,0.22,0.02,SCM,strongTWG,1.362193021,31.75418999,386.9671716,0.572567102,3.516633236,7.48E-06,5.48E-06,Strongly Tidewater-Glacier-Influenced
BL14_3,Belcher.14_5,V2108,5,Belcher,13.59,August,2021,75.68463333,-80.13856667,BL14,0.69,0.37,0,0,0.03,Surface,strongTWG,1.856586641,31.46046751,381.6060925,0.265880515,0.99220736,0.000120245,0.000112891,Strongly Tidewater-Glacier-Influenced
BL3_3,Belcher.3_5,V2108,5,Belcher,4.33,August,2021,75.658,-81.12866667,BL3,0.67,0.41,0.01,0.11,0,Surface,strongTWG,1.715842738,31.25353593,383.0162864,0.977264867,0.513086377,8.62E-05,8.97E-05,Strongly Tidewater-Glacier-Influenced
BL5_2,Belcher.5_20,V2108,20,Belcher,5.23,August,2021,75.659,-81.09626667,BL5,0.77,0.4,0,0.12,0,SCM,strongTWG,1.36350938,31.53231306,383.3011016,0.646054447,2.246921308,0.000114992,0.000121365,Strongly Tidewater-Glacier-Influenced
BL5_3,Belcher.5_5,V2108,5,Belcher,5.23,August,2021,75.659,-81.09626667,BL5,0.69,0.4,0,0.05,0,Surface,strongTWG,1.748278832,31.33391051,381.4199347,0.838926928,1.294516269,0.000157362,0.00014561,Strongly Tidewater-Glacier-Influenced
