sample_id,location,year,depth,link_ID,column to link with
VIO-12-4-RNA,BELCHER,2019,20,VIO_12_20,CTD_ID
VIO-12-4-RNA,BELCHER,2019,20,VIO_12_20,CTD_ID
VIO-12-4-RNA,BELCHER,2019,20,VIO_12_20,CTD_ID
VIO-12-4-RNA,BELCHER,2019,20,VIO_12_20,CTD_ID
VIO-30-2-RNA-2,SVERDRUP,2019,10,VIO_30_10,CTD_ID
VIO-30-2-RNA-2,SVERDRUP,2019,10,VIO_30_10,CTD_ID
VIO-30-2-RNA-2,SVERDRUP,2019,10,VIO_30_10,CTD_ID
VIO-30-2-RNA-2,SVERDRUP,2019,10,VIO_30_10,CTD_ID
VIO-30-8-RNA-2,SVERDRUP,2019,110,VIO_30_110,CTD_ID
VIO-30-8-RNA-2,SVERDRUP,2019,110,VIO_30_110,CTD_ID
VIO-30-8-RNA-2,SVERDRUP,2019,110,VIO_30_110,CTD_ID
VIO-30-8-RNA-2,SVERDRUP,2019,110,VIO_30_110,CTD_ID
VIO-32-6-RNA2 ,SVERDRUP,2019,20,VIO_32_20,CTD_ID
VIO-32-6-RNA2 ,SVERDRUP,2019,20,VIO_32_20,CTD_ID
VIO-32-6-RNA2 ,SVERDRUP,2019,20,VIO_32_20,CTD_ID
VIO-32-6-RNA2 ,SVERDRUP,2019,20,VIO_32_20,CTD_ID
VIO-44-5-RNA-2,GRISE_FIORD,2019,31,VIO_44_31,CTD_ID
VIO-44-5-RNA-2,GRISE_FIORD,2019,31,VIO_44_31,CTD_ID
VIO-44-5-RNA-2,GRISE_FIORD,2019,31,VIO_44_31,CTD_ID
VIO-44-5-RNA-2,GRISE_FIORD,2019,31,VIO_44_31,CTD_ID
VIO-6-5-RNA-1,JAKEMAN,2019,40,VIO_6_40,CTD_ID
VIO-6-5-RNA-1,JAKEMAN,2019,40,VIO_6_40,CTD_ID
VIO-6-5-RNA-1,JAKEMAN,2019,40,VIO_6_40,CTD_ID
VIO-6-5-RNA-1,JAKEMAN,2019,40,VIO_6_40,CTD_ID
VSM21-BL1-1,BELCHER,2021,,,
VSM21-BL1-1,BELCHER,2021,,,
VSM21-BL1-1,BELCHER,2021,,,
VSM21-BL1-1,BELCHER,2021,,,
VSM21-BL1-2_A,BELCHER,2021,,,
VSM21-BL1-2_A,BELCHER,2021,,,
VSM21-BL1-2_A,BELCHER,2021,,,
VSM21-BL1-2_A,BELCHER,2021,,,
VSM21-BL9-1,BELCHER,2021,,,
VSM21-BL9-1,BELCHER,2021,,,
VSM21-BL9-1,BELCHER,2021,,,
VSM21-BL9-1,BELCHER,2021,,,
VSM21-BL9-2,BELCHER,2021,,,
VSM21-BL9-2,BELCHER,2021,,,
VSM21-BL9-2,BELCHER,2021,,,
VSM21-BL9-2,BELCHER,2021,,,
VSM21-SV1-1_A ,SVERDRUP,2021,,,
VSM21-SV1-1_A ,SVERDRUP,2021,,,
VSM21-SV1-1_A ,SVERDRUP,2021,,,
VSM21-SV1-1_A ,SVERDRUP,2021,,,
VSM21-SV1-2_A,SVERDRUP,2021,,,
VSM21-SV1-2_A,SVERDRUP,2021,,,
VSM21-SV1-2_A,SVERDRUP,2021,,,
VSM21-SV1-2_A,SVERDRUP,2021,,,
VSM21-SV7-1_A,SVERDRUP,2021,,,
VSM21-SV7-1_A,SVERDRUP,2021,,,
VSM21-SV7-1_A,SVERDRUP,2021,,,
VSM21-SV7-1_A,SVERDRUP,2021,,,
VSM21-SV7-2,SVERDRUP,2021,,,
VSM21-SV7-2,SVERDRUP,2021,,,
VSM21-SV7-2,SVERDRUP,2021,,,
VSM21-SV7-2,SVERDRUP,2021,,,
VSM21-TA7-2_A,TALBOT,2021,,,
VSM21-TA7-2_A,TALBOT,2021,,,
VSM21-TA7-2_A,TALBOT,2021,,,
VSM21-TA7-2_A,TALBOT,2021,,,
VSM21-TA7-3_A ,TALBOT,2021,,,
VSM21-TA7-3_A ,TALBOT,2021,,,
VSM21-TA7-3_A ,TALBOT,2021,,,
VSM21-TA7-3_A ,TALBOT,2021,,,
