VSM21-SV7-1_A,VSM21-BL1-2_A,VSM21-TA7-2_A,VSM21-SV1-1_A ,VSM21-BL9-1,VSM21-TA7-3_A ,VSM21-BL1-1,VSM21-SV7-2,VIO-30-8-RNA-2,VSM21-BL9-2,VIO-44-5-RNA-2,VIO-12-4-RNA,SSW,VIO-6-5-RNA-1,VIO-30-2-RNA-2,SSW_B,VIO-32-6-RNA2 ,VSM21-SV1-2_A,transcript_name,classification_level,full_classification,classification,max_pid,ambiguous,counts,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,dab_name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,megahit_env_19_a_k51_2650529_flag=1_multi=5.0000_len=1027_env_19_a_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,636,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0,0,0,0.107618,0,0,0,0,0,0,0,0,0,0,0,0,0.039842,0,megahit_env_SV_21_a_k51_159357_flag=1_multi=10.0000_len=449_env_SV_21_a_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,206,0,,4113.PGSC0003DMT400025150,2.9e-06,52.4,"COG3491@1|root,KOG0143@2759|Eukaryota,37S4R@33090|Viridiplantae,3GEB9@35493|Streptophyta,44FVH@71274|asterids",35493|Streptophyta,Q,Belongs to the iron ascorbate-dependent oxidoreductase family,-,-,-,-,-,-,-,-,-,-,-,-,"2OG-FeII_Oxy,DIOX_N",DabC
0,0,0,0,0,0,0,0,0,0,0,0.034056,0,0,0,0,0,0,megahit_inc_dg_k51_1272276_flag=1_multi=2.0000_len=206_inc_dg_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,117,0,,"",,,"","","","","","","","","","","","","","","","","",DabB
0,0,0,0,0,0,0.08171,0.278627,0.278627,0,0,0,0,0,0.104124,0.002287,0,0,megahit_inc_dg_k51_1621517_flag=1_multi=11.0000_len=1193_inc_dg_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,684,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,megahit_inc_dg_k51_573259_flag=1_multi=14.2447_len=897_inc_dg_merged.fasta.p1,species,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia; Pseudo-nitzschia australis,Pseudo-nitzschia australis,496,0,,616991.JPOO01000003_gene697,5.2e-08,60.8,"COG3491@1|root,COG3491@2|Bacteria,4NED5@976|Bacteroidetes,1HWU5@117743|Flavobacteriia,23FYS@178469|Arenibacter",976|Bacteroidetes,C,2OG-Fe(II) oxygenase superfamily,-,-,-,-,-,-,-,-,-,-,-,-,"2OG-FeII_Oxy,DIOX_N",DabC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,megahit_inc_dgn_k51_1473517_flag=1_multi=5.0000_len=908_inc_dgn_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,386,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
0.067911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111327,0,0,0,rnaspades_HM10_NODE_12618_length_1068_cov_3.133464_g9686_i0_HM10_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,666,0,,1476876.JOJO01000006_gene2585,9e-13,76.6,"COG3491@1|root,COG3491@2|Bacteria,2GT52@201174|Actinobacteria",201174|Actinobacteria,C,Belongs to the iron ascorbate-dependent oxidoreductase family,-,-,-,-,-,-,-,-,-,-,-,-,"2OG-FeII_Oxy,DIOX_N",DabC
0.027974,0.038623,0,0.035359,0.038854,0,0,0.121331,0.121331,0.02254,0,0.036062,0,0,0.067157,0,0.011775,0.057865,rnaspades_HM24_NODE_16169_length_1203_cov_6.332756_g12630_i0_HM24_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,728,0,,1476876.JOJO01000006_gene2585,1.2e-12,76.6,"COG3491@1|root,COG3491@2|Bacteria,2GT52@201174|Actinobacteria",201174|Actinobacteria,C,Belongs to the iron ascorbate-dependent oxidoreductase family,-,-,-,-,-,-,-,-,-,-,-,-,"2OG-FeII_Oxy,DIOX_N",DabC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_HM24_NODE_42001_length_720_cov_3.947839_g36185_i0_HM24_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,449,0,,159749.K0QZV4,7.1e-55,196.1,"COG2124@1|root,KOG0157@2759|Eukaryota",2759|Eukaryota,Q,iron ion binding,-,"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0055114",-,-,-,-,-,-,-,-,-,-,p450,DabD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rnaspades_HM46_NODE_226467_length_368_cov_2.050157_g210220_i0_HM46_merged.fasta.p1,genus,Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Pseudo-nitzschia,Pseudo-nitzschia,234,0,,"",,,"","","","","","","","","","","","","","","","","",DabA
